,Title,Price,Available_Colors,Available_Size,Item_Context,Url
87,Relaxed Fit Short-sleeved linen-blend shirt,449,Light blue,"M,L,XXL",casual,https://eg.hm.com/en/buy-relaxed-fit-short-sleeved-linen-blend-shirt-light-blue.html
88,Relaxed Fit Linen-blend joggers,649,Dark grey,"M,XL",casual,https://eg.hm.com/en/buy-relaxed-fit-linen-blend-joggers-dark-grey.html
89,Cotton Shirt Muscle Fit,399,White/Pinstriped,"S,M",formal,https://eg.hm.com/en/buy-cotton-shirt-muscle-fit-white-pinstriped.html
90,Relaxed Fit Cargo joggers,749,Beige,"S,M",None,https://eg.hm.com/en/buy-relaxed-fit-cargo-joggers-beige.html
91,Relaxed Fit Cotton T-shirt,399,Dark green/New Times,XS,casual,https://eg.hm.com/en/buy-relaxed-fit-cotton-t-shirt-dark-green-new-times.html
92,Regular Fit Terry polo shirt,299,Terracotta,"XL,XXL",casual,https://eg.hm.com/en/buy-regular-fit-terry-polo-shirt-terracotta.html
93,Short-sleeve shirt Regular fit,349,Light blue/Tulips,L,None,https://eg.hm.com/en/buy-short-sleeve-shirt-regular-fit-light-blue-tulips.html
94,2-pack Relaxed Fit Short-sleeved shirts,499,Dark blue/Light beige,S,casual,https://eg.hm.com/en/buy-2-pack-relaxed-fit-short-sleeved-shirts-dark-blue-light-beige.html
95,Vest top,149,Dark grey,M,None,https://eg.hm.com/en/buy-vest-top-dark-grey.html
96,Swim shorts,349,Light pistachio green,XL,beach,https://eg.hm.com/en/buy-swim-shorts-light-pistachio-green.html
97,Regular Fit T-shirt,249,White/Snoopy,XS,casual,https://eg.hm.com/en/buy-regular-fit-t-shirt-white-snoopy.html
98,Fast-drying running shorts,649,Sage green,L,sport,https://eg.hm.com/en/buy-fast-drying-running-shorts-sage-green.html
99,Regular Fit Cotton T-shirt,249,Blue/Patterned,XS,casual,https://eg.hm.com/en/buy-regular-fit-cotton-t-shirt-blue-patterned.html
100,Sports shorts,649,Light grey,"M,XXL",sport,https://eg.hm.com/en/buy-sports-shorts-light-grey.html
101,Regular Fit Modal cigarette trousers,749,Light beige,"31,32,33,34",casual,https://eg.hm.com/en/buy-regular-fit-modal-cigarette-trousers-light-beige.html
102,Nylon cap,299,Grey,ONESIZE,sport,https://eg.hm.com/en/buy-nylon-cap-grey.html
103,2-pack sports socks,129,Yellow/Patterned,"40/42,43/45",sport,https://eg.hm.com/en/buy-2-pack-sports-socks-yellow-patterned.html
104,2-pack sports socks,129,Purple/Patterned,"40/42,43/45",sport,https://eg.hm.com/en/buy-2-pack-sports-socks-purple-patterned.html
105,Cotton twill trousers,749,Beige,"30,31,32,33,34,36",casual,https://eg.hm.com/en/buy-cotton-twill-trousers-beige.html
106,Cotton twill trousers,749,Black,"30,32,33",casual,https://eg.hm.com/en/buy-cotton-twill-trousers-black.html
107,5-pack trainer socks,249,Grey marl/Black/White,43/45,sport,https://eg.hm.com/en/buy-5-pack-trainer-socks-grey-marl-black-white.html
108,Regular Fit Modal cigarette trousers,749,Black,"30,31,32,33,34",casual,https://eg.hm.com/en/buy-regular-fit-modal-cigarette-trousers-black.html
109,Regular Fit Chino shorts,349,Light beige,"32,34,38",casual,https://eg.hm.com/en/buy-regular-fit-chino-shorts-light-beige.html
110,Cotton twill trousers,749,Cream,"32,33,34,36",casual,https://eg.hm.com/en/buy-cotton-twill-trousers-cream.html
